Timestamp;Symbol;Price;Volume
2025-01-13T00:00:00Z;GOOG;325.86;39548
2025-01-13T00:00:01Z;GOOG;155.89;44162
2025-01-13T00:00:02Z;GOOG;371.66;85325
2025-01-13T00:00:03Z;GOOG;914.25;22428
2025-01-13T00:00:04Z;GOOG;900.25;32428
2025-01-13T00:00:05Z;GOOG;912.50;25428
2025-01-13T00:00:10Z;GOOG;920.45;28428
2025-01-13T00:00:15Z;GOOG;925.25;27428
2025-01-13T00:00:30Z;GOOG;935.25;26428
2025-01-13T00:00:40Z;GOOG;925.25;12328
2025-01-13T00:00:50Z;GOOG;915.25;12418
2025-01-13T00:00:55Z;GOOG;920.15;20408
2025-01-13T00:01:00Z;GOOG;914.05;10400
2025-01-13T00:01:00Z;APPL;619.19;905908
2025-01-13T00:01:01Z;APPL;626.49;205406
2025-01-13T00:01:02Z;APPL;671.66;85325
2025-01-13T00:01:03Z;APPL;614.25;22428
2025-01-13T00:01:04Z;APPL;600.25;32428
2025-01-13T00:01:05Z;APPL;612.50;25428
2025-01-13T00:01:10Z;APPL;620.45;28428
2025-01-13T00:01:15Z;APPL;625.25;27428
2025-01-13T00:01:30Z;APPL;635.25;26428
2025-01-13T00:01:40Z;APPL;625.25;12328
2025-01-13T00:01:50Z;APPL;615.25;12418
2025-01-13T00:01:55Z;APPL;620.15;20408
2025-01-13T00:02:00Z;APPL;614.05;10400
